Causa,Fecha_Evento,Fenomeno,idEvento,idFenomeno_1,idFenomeno,idLocalidad,idMunicipio,idRegion,Latitud,Longitud,Nombre,Region,Municipio,Localidad
PRECIPITACION,DICIEMBRE 15. 2013,HIDROMETEOROLOGICOS,36.652,1,1,20.127,123,14,17.17,-92.33,PROTOCOLOS DE ATENCION DE EMERGENCIAS POR FF-19,TULIJA TSELTAL-CHOL,YAJALON,CABECERA MUNICIPAL
PRECIPITACION,DICIEMBRE 16. 2013,HIDROMETEOROLOGICOS,36.694,1,1,20.096,92,14,17.56,-92.34,ENCHARCAMIENTO EN CABECERA MUNICIPAL,TULIJA TSELTAL-CHOL,SALTO DE AGUA,CABECERA MUNICIPAL
PRECIPITACION,DICIEMBRE 16. 2013,HIDROMETEOROLOGICOS,36.701,1,1,3.395,77,8,17.41,-93.33,AFECTACIONES POR LLUVIAS,NORTE,OSTUACAN,LA PENA 2DA. SECCION
VERIFICACIONES,DICIEMBRE 21. 2013,ACCIONES DE PREVENCION,36.863,52,8,3.047,60,8,17.5,-93.01,TRABAJOS DE REDUCCION DE RIESGOS DE INUNDACION,NORTE,IXTAPANGAJOYA,NUEVO POBLADO LLANOS MORELOS
BAJA PRESION,DICIEMBRE 22. 2013,HIDROMETEOROLOGICOS,36.892,2,1,20.067,63,8,17.61,-93.2,SESION EXTRAORDINARIA DEL CONSEJO MUNICIPAL DE P.C. POR EL FRENTE FRIO NUM. 20,NORTE,JUAREZ,CABECERA MUNICIPAL
ENCHARCAMIENTO,DICIEMBRE 23. 2013,HIDROMETEOROLOGICOS,36.935,69,1,20.087,83,8,17.51,-93.12,AFECTACIONES POR LLUVIA FRENTE FRIO NUM. 20,NORTE,PICHUCALCO,CABECERA MUNICIPAL
AFECTACIONES POR LLUVIAS,DICIEMBRE 23. 2013,HIDROMETEOROLOGICOS,36.947,80,1,1.26,63,8,17.61,-93.19,AFECTACIONES POR LLUVIAS FRENTE FRIO NUM 20,NORTE,JUAREZ,LAS MIRANDAS
PRECIPITACION,DICIEMBRE 23. 2013,HIDROMETEOROLOGICOS,36.96,1,1,20.093,89,8,17.86,-93.16,FRENTE FRIO N 20,NORTE,REFORMA,CABECERA MUNICIPAL
PRECIPITACION,ENERO 2. 2014,HIDROMETEOROLOGICOS,37.298,1,1,20.087,83,8,17.51,-93.12,MONITORE RIO PICHUCALCO FF23,NORTE,PICHUCALCO,CABECERA MUNICIPAL
PRECIPITACION,ENERO 3. 2014,HIDROMETEOROLOGICOS,37.304,1,1,2.46,63,8,17.61,-93.2,RECORRIDO EN COMUNIDADES PARA VERIFICAR DANOS POR LLUVIAS.,NORTE,JUAREZ,SANTA CRUZ TEPATE ABAJO
VERIFICACIONES,ENERO 9. 2014,ACCIONES DE PREVENCION,37.529,52,8,3.047,60,8,17.51,-93.01,CONSTRUCCION DE CAMELLON CON COSTALERIA DE ARENA,NORTE,IXTAPANGAJOYA,NUEVO POBLADO LLANOS MORELOS
PRECIPITACION,ENERO 6. 2014,HIDROMETEOROLOGICOS,37.535,1,1,20.052,48,3,17.32,-93.24,AFECTACION EN VIVIENDAS,MEZCALAPA,FRANCISCO LEON,CABECERA MUNICIPAL
VERIFICACIONES,ENERO 21. 2014,ACCIONES DE PREVENCION,37.938,52,8,20.087,83,8,17.51,-93.12,IDENTIFICACION DE RIESGOS POR ASOLVAMIENTO DEL RIO PICHUCALCO,NORTE,PICHUCALCO,CABECERA MUNICIPAL
VERIFICACIONES,FEBRERO 5. 2014,ACCIONES DE PREVENCION,38.538,52,8,20.07,66,9,15.46,-92.89,VERIFICACION DE VIVIENDAS QUE SOLICITAN AGUA POTABLE,ISTMO-COSTA,MAPASTEPEC,CABECERA MUNICIPAL
PRECIPITACION,FEBRERO 10. 2014,HIDROMETEOROLOGICOS,38.763,1,1,20.071,67,15,16.31,-91.99,MONITOREO POR FUERTE LLUVIA,MESETA COMITECA TOJOLABAL,LAS MARGARITAS,CABECERA MUNICIPAL
VERIFICACIONES,FEBRERO 19. 2014,ACCIONES DE PREVENCION,39.115,52,8,1.106,69,10,14.85,-92.42,VERIFICACION FISICA DE LOS DRENES BUENA VISTA Y LA COMPUERTA.,SOCONUSCO,MAZATAN,CUATRO CAMINOS
BAJA PRESION,ABRIL 3. 2014,HIDROMETEOROLOGICOS,41.383,2,1,20.117,113,15,16.11,-92.05,ARBOL DERRIBADO,MESETA COMITECA TOJOLABAL,LA TRINITARIA,CABECERA MUNICIPAL
PRECIPITACION,ABRIL 5. 2014,HIDROMETEOROLOGICOS,41.482,1,1,19.972,74,12,16.91,-92.09,ENCHARCAMIENTO EN VIVIENDA.,SELVA LACANDONA,OCOSINGO,SAN JOSE
PRECIPITACION,ABRIL 7. 2014,HIDROMETEOROLOGICOS,41.6,1,1,20.087,83,8,17.52,-93.12,ENCHARCAMIENTO DE VIALIDADES FF49,NORTE,PICHUCALCO,CABECERA MUNICIPAL
FRENTE FRIO,ABRIL 7. 2014,HIDROMETEOROLOGICOS,41.608,61,1,246,110,14,17.25,-92.48,LLUVIAS FUERTE EN EL MUNICIPIO DE TILA,TULIJA TSELTAL-CHOL,TILA,TILA
VERIFICACIONES,ABRIL 21. 2014,ACCIONES DE PREVENCION,42.495,52,8,166,42,1,16.71,-93.01,PATIO INUNDADO EN FRACC. SANTA FE,METROPOLITANA,CHIAPA DE CORZO,CHIAPA DE CORZO
VERIFICACIONES,ABRIL 23. 2014,ACCIONES DE PREVENCION,42.607,52,8,1.26,63,8,17.61,-93.2,TRABAJOS DE REDUCCION DE RIESGOS PARA PREVENIR INUNDACIONES,NORTE,JUAREZ,LAS MIRANDAS
FRENTE FRIO,ABRIL 27. 2014,HIDROMETEOROLOGICOS,42.78,61,1,197,113,15,16.13,-92.05,ENCHARCAMIENTO (CAPACITACION),MESETA COMITECA TOJOLABAL,LA TRINITARIA,LA TRINITARIA
VERIFICACIONES,ABRIL 28. 2014,ACCIONES DE PREVENCION,42.849,52,8,642,83,8,17.61,-93.38,IDENTIFICACION DE RIESGOS POR ESTRUCTURA DE PUENTE TUBULAR,NORTE,PICHUCALCO,PLUTARCO ELIAS CALLES
PRECIPITACION,ABRIL 30. 2014,HIDROMETEOROLOGICOS,42.945,1,1,480,99,8,17.43,-93.03,AFECTACION DE VIVIENDAS,NORTE,SOLOSUCHIAPA,CERRO LAS CAMPANAS
AFECTACIONES POR LLUVIAS,ABRIL 29. 2014,HIDROMETEOROLOGICOS,42.976,80,1,20.053,49,11,15.66,-92.14,ENCHARCAMIENTO DE VIVIENDA,SIERRA MARISCAL,FRONTERA COMALAPA,CABECERA MUNICIPAL
PRECIPITACION,MAYO 1. 2014,HIDROMETEOROLOGICOS,43.02,1,1,20.071,67,15,16.31,-91.98,ENCHARCAMIENTOS EN VIVIENDAS POR FUERTE LLUVIA,MESETA COMITECA TOJOLABAL,LAS MARGARITAS,CABECERA MUNICIPAL
VERIFICACIONES,MAYO 6. 2014,ACCIONES DE PREVENCION,43.178,52,8,20.053,49,11,15.65,-92.14,DESAZOLVE DEL RIO JAMAIPAK,SIERRA MARISCAL,FRONTERA COMALAPA,CABECERA MUNICIPAL
VERIFICACIONES,MAYO 6. 2014,ACCIONES DE PREVENCION,43.275,52,8,3.295,64,5,16.88,-92.71,ALCANTARILLA OBSTRUIDO,ALTOS TSOTSIL-TSELTAL,LARRAINZAR,YOLTE
PRECIPITACION,MAYO 11. 2014,HIDROMETEOROLOGICOS,43.383,1,1,4.144,56,15,16.2,-91.86,ENCHARCAMIENTO EL TRIUNFO,MESETA COMITECA TOJOLABAL,LA INDEPENDENCIA,EL TRIUNFO
ENCHARCAMIENTO,MAYO 19. 2014,HIDROMETEOROLOGICOS,43.806,69,1,227,93,5,16.71,-92.62,ENCHARCAMIENTO EN COBACH PLANTEL 11,ALTOS TSOTSIL-TSELTAL,SAN CRISTOBAL DE LAS CASAS,SAN CRISTOBAL DE LAS CASAS
PRECIPITACION,MAYO 19. 2014,HIDROMETEOROLOGICOS,43.848,1,1,3.047,60,8,17.5,-93,VIVIENDAS INUNDADAS,NORTE,IXTAPANGAJOYA,NUEVO POBLADO LLANOS MORELOS
PRECIPITACION,MAYO 20. 2014,HIDROMETEOROLOGICOS,43.849,1,1,1.323,83,8,17.52,-93.12,ENCHARCAMIENTO DE TRAMOS CARRETEROS Y VIVIENDAS POR DESBORDAMIENTO DEL RIO PLATANAR,NORTE,PICHUCALCO,PLATANAR ABAJO 1RA. SECCION (LA CRIMEA)
PRECIPITACION,MAYO 20. 2014,HIDROMETEOROLOGICOS,43.852,1,1,3.356,77,8,17.41,-93.34,AFECTACIONES A CULTIVOS DE MAIZ POR DESBORDAMIENTO DEL ARROYO COPANO,NORTE,OSTUACAN,LA PENA 1RA. SECCION
ENCHARCAMIENTO,MAYO 20. 2014,HIDROMETEOROLOGICOS,43.873,69,1,227,93,5,16.73,-92.63,ENCHARCAMIENTO EN SAN CRISTOBAL,ALTOS TSOTSIL-TSELTAL,SAN CRISTOBAL DE LAS CASAS,SAN CRISTOBAL DE LAS CASAS
