Acceso_Vial,ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,P_0A4,P_0A4_F,P_0A4_M,P_5A9,P_5A9_F,P_5A9_M,P_10A14,P_10A14_F,P_10A14_M,P_15A19,P_15A19_F,P_15A19_M,P_20A24,P_20A24_F,P_20A24_M,P_25A29,P_25A29_F,P_25A29_M,P_30A34,P_30A34_F,P_30A34_M,P_35A39,P_35A39_F,P_35A39_M,P_40A44,P_40A44_F,P_40A44_M,P_45A49,P_45A49_F,P_45A49_M,P_50A54,P_50A54_F,P_50A54_M,P_55A59,P_55A59_F,P_55A59_M,P_60A64,P_60A64_F,P_60A64_M,P_65A69,P_65A69_F,P_65A69_M,P_70A74,P_70A74_F,P_70A74_M,P_75A79,P_75A79_F,P_75A79_M,P_80A84,P_80A84_F,P_80A84_M,P_85YMAS,P_85YMAS_F,P_85YMAS_M,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,TAMLOC
3,7,CHIAPAS,15,CACAHOATAN,1,CACAHOATAN,-92.16811,14.989789,477,19108,9949,9159,1088,557,531,18020,9392,8628,17239,9031,8208,14621,7776,6845,13516,7218,6298,12397,6656,5741,1162,558,604,2237,1058,1179,2565,1246,1319,1105,558,547,1119,562,557,2408,1255,1153,5241,2044,1096,948,92.06,5592,12124,1392,1869,918,951,1886,897,989,1837,916,921,1848,956,892,1679,861,818,1387,751,636,1384,765,619,1306,730,576,1177,637,540,1034,541,493,897,489,408,760,392,368,652,349,303,477,246,231,333,178,155,251,136,115,175,94,81,156,93,63,2.13,17695,9197,8498,590,286,304,16699,8781,7918,310,134,176,134,61,73,1,1,0,133,60,73,134,1,133,427,99,54,45,690,314,293,123,140,127,116,1510,506,893,123,328,82,249,183,16841,462,224,238,124,52,72,103,46,57,885,457,428,709,382,327,89,41,48,1042,675,367,1270,763,507,1231,669,562,1676,890,786,351,186,165,2813,1577,1236,5644,2859,2785,9.23,9,9.51,8405,3397,5008,6148,4369,1779,8184,3335,4849,221,62,159,8769,10336,3418,1690,329,458,4138,26,81,312,5206,7440,1975,7184,7861,14,4043,4970,1735,3235,19059,6318,12741,5994,4971,5992,4969,4957,4970,763,260,19059,3.83,1.22,4732,225,2166,2791,930,993,3034,4933,24,4863,4573,94,1243,1792,4918,18,4938,19,4835,3,4924,3468,99,4003,2327,1285,1260,387,684,3418,4404,1087,770,4427,1121,2049,263,133,304,505,3449,133,8
1,7,CHIAPAS,15,CACAHOATAN,2,AGUA CALIENTE,-92.155601,15.164324,1596,552,287,265,51,28,23,501,259,242,466,243,223,350,189,161,298,164,134,262,143,119,44,20,24,107,50,57,120,59,61,52,25,27,36,21,15,56,33,23,126,44,25,19,92.33,254,265,33,86,44,42,80,38,42,88,41,47,53,31,22,39,23,16,27,16,11,25,13,12,33,15,18,27,17,10,20,11,9,13,6,7,17,7,10,11,7,4,9,3,6,7,7,0,6,3,3,3,1,2,8,4,4,3.58,546,284,262,1,0,1,459,241,218,1,1,0,181,94,87,2,1,1,179,93,86,179,2,177,460,2,0,2,16,6,7,11,9,8,9,18,9,5,1,7,0,3,7,516,10,4,6,5,1,4,7,3,4,21,15,6,7,6,1,3,1,2,58,40,18,60,42,18,65,32,33,51,17,34,11,4,7,59,35,24,38,23,15,5.71,5.63,5.8,319,172,147,31,17,14,319,172,147,0,0,0,4,548,3,0,0,1,476,504,2,1,131,181,38,426,89,0,37,87,16,71,552,80,472,103,87,103,87,87,87,16,0,552,6.34,1.96,65,22,40,47,1,36,50,86,1,82,55,5,14,2,62,25,55,32,54,0,55,79,5,26,11,3,5,6,0,65,52,3,1,61,7,4,0,0,13,26,79,7,3
1,7,CHIAPAS,15,CACAHOATAN,3,EL AGUILA,-92.183501,15.092592,1219,1377,708,669,75,35,40,1302,673,629,1255,645,610,1089,568,521,1018,532,486,940,491,449,69,39,30,144,66,78,166,75,91,71,36,35,78,41,37,143,77,66,351,212,107,105,94.49,359,867,151,122,63,59,122,65,57,115,48,67,118,58,60,103,60,43,93,55,38,100,54,46,79,43,36,98,47,51,78,34,44,75,42,33,62,32,30,61,28,33,50,24,26,39,18,21,24,16,8,17,13,4,21,8,13,2.6,1323,681,642,35,19,16,1212,627,585,33,15,18,16,7,9,2,1,1,14,6,8,16,2,14,40,2,1,1,54,23,15,17,20,10,13,152,56,105,21,56,16,28,23,1163,40,21,19,6,1,5,3,1,2,72,36,36,49,26,23,2,1,1,79,47,32,80,46,34,156,74,82,151,82,69,17,6,11,289,152,137,277,150,127,8.1,8.2,7.98,618,207,411,468,359,109,612,205,407,6,2,4,359,1018,159,46,2,2,756,54,0,1,375,595,119,504,469,11,393,347,78,269,1377,274,1103,420,347,420,347,347,347,61,12,1377,3.97,1.15,338,9,117,230,25,62,260,345,2,347,345,0,51,17,339,6,345,2,343,0,344,309,11,204,155,45,37,3,4,258,297,46,25,302,92,8,5,7,31,41,238,13,4
2,7,CHIAPAS,15,CACAHOATAN,4,AGUSTIN DE ITURBIDE,-92.198513,15.075341,829,2018,1019,999,94,43,51,1924,976,948,1841,936,905,1561,819,742,1443,760,683,1311,691,620,129,60,69,234,97,137,278,119,159,118,59,59,132,69,63,247,127,120,518,267,135,132,98.04,575,1248,195,177,83,94,203,88,115,195,88,107,201,102,99,178,94,84,133,74,59,118,65,53,133,71,62,123,64,59,95,48,47,103,57,46,92,50,42,72,47,25,68,27,41,46,18,28,37,25,12,21,7,14,23,11,12,2.37,1941,975,966,36,23,13,1825,930,895,6,4,2,11,6,5,0,0,0,11,6,5,11,0,11,30,6,3,3,54,21,24,9,17,9,4,136,43,86,7,34,9,26,17,1817,50,24,26,11,8,3,14,5,9,92,49,43,54,24,30,15,7,8,156,90,66,183,100,83,214,105,109,177,99,78,49,26,23,303,176,127,453,221,232,7.91,7.81,8.02,937,348,589,618,469,149,926,345,581,11,3,8,961,1057,329,79,11,6,629,2,1,9,604,756,201,552,778,0,688,505,168,337,2018,631,1387,617,505,617,505,505,505,105,7,2018,4,1.27,476,29,215,290,74,123,308,504,1,503,501,2,95,338,496,9,503,2,500,0,499,441,14,350,192,86,48,20,11,320,430,54,42,355,110,46,9,5,44,144,376,20,4
2,7,CHIAPAS,15,CACAHOATAN,5,AHUACATLAN,-92.180892,15.040232,670,1900,975,925,99,52,47,1801,923,878,1714,882,832,1462,740,722,1357,696,661,1257,649,608,127,67,60,212,116,96,246,120,126,105,44,61,100,47,53,205,109,96,487,252,119,133,94.87,543,1173,184,186,93,93,184,99,85,173,87,86,162,80,82,143,76,67,130,63,67,136,77,59,121,62,59,124,68,56,112,61,51,94,45,49,83,45,38,68,33,35,46,18,28,52,27,25,38,17,21,23,10,13,25,14,11,2.39,1756,905,851,49,29,20,1647,860,787,29,11,18,7,2,5,0,0,0,7,2,5,7,0,7,11,5,3,2,81,30,33,18,25,11,9,239,68,171,10,62,10,31,30,1566,35,20,15,5,3,2,11,7,4,85,40,45,47,26,21,9,4,5,103,71,32,128,77,51,192,87,105,182,88,94,35,20,15,334,186,148,433,217,216,8.21,8.11,8.32,890,312,578,546,427,119,877,309,568,13,3,10,965,935,215,135,54,69,425,2,37,3,416,797,249,697,791,0,412,502,136,366,1873,459,1414,614,503,613,502,502,502,93,18,1873,3.73,1.13,478,24,221,281,63,115,324,499,3,497,491,5,80,442,490,7,498,4,494,0,492,376,13,349,192,91,106,36,59,323,430,54,22,422,52,177,8,15,39,76,425,15,4
0,7,CHIAPAS,15,CACAHOATAN,6,ALIANZA,-92.18237,15.045194,670,64,32,32,6,3,3,58,29,29,56,29,27,45,22,23,41,20,21,36,16,20,4,1,3,9,6,3,11,6,5,4,2,2,5,4,1,8,3,5,19,1,0,1,100,23,41,0,8,3,5,7,5,2,8,4,4,8,6,2,5,1,4,5,3,2,7,4,3,5,2,3,4,1,3,3,2,1,1,0,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,39,20,19,1,1,0,56,29,27,0,0,0,2,0,2,0,0,0,2,0,2,2,0,2,16,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,61,2,0,2,2,1,1,3,1,2,3,3,0,1,0,1,2,1,1,7,3,4,7,3,4,6,1,5,11,7,4,0,0,0,8,4,4,6,2,4,6.39,6.9,5.9,24,2,22,21,20,1,13,1,12,11,1,10,42,22,20,0,0,0,2,0,0,0,14,28,3,20,15,0,29,12,1,11,64,3,61,19,12,19,12,12,12,0,7,64,5.33,2,11,1,6,6,4,2,6,12,0,12,12,0,3,1,11,1,12,0,12,0,11,10,0,6,4,1,2,0,1,11,11,2,0,12,1,5,1,0,0,0,10,0,1
1,7,CHIAPAS,15,CACAHOATAN,7,ALPUJARRAS,-92.171535,15.073735,937,579,309,270,31,13,18,548,296,252,529,284,245,434,233,201,410,220,190,377,203,174,31,18,13,83,45,38,79,42,37,24,13,11,33,17,16,74,48,26,154,85,33,52,87.38,169,350,60,50,25,25,68,37,31,51,27,24,59,31,28,48,34,14,22,12,10,31,12,19,38,24,14,39,19,20,31,22,9,26,12,14,31,21,10,25,7,18,24,12,12,14,5,9,8,3,5,8,3,5,6,3,3,2.53,530,280,250,25,17,8,508,272,236,15,9,6,3,0,3,0,0,0,3,0,3,3,0,3,16,0,0,0,41,18,19,10,11,8,9,67,22,38,4,12,1,20,8,467,16,12,4,6,2,4,1,1,0,21,11,10,11,8,3,6,3,3,67,40,27,64,34,30,76,36,40,72,39,33,16,11,5,99,53,46,72,42,30,6.64,6.81,6.44,244,87,157,190,146,44,241,86,155,3,1,2,139,440,48,19,3,3,374,0,0,0,123,253,58,230,270,0,79,153,38,115,579,128,451,214,153,214,153,151,153,61,0,579,3.78,1.36,135,16,89,62,22,49,80,149,2,149,1,2,26,25,148,1,150,1,146,0,149,127,5,90,52,18,22,3,0,92,109,11,7,118,42,21,1,0,22,29,106,8,3
1,7,CHIAPAS,15,CACAHOATAN,8,FRACCION AZTECA,-92.12383,15.087696,1529,251,124,127,18,14,4,233,110,123,221,106,115,182,89,93,163,82,81,141,72,69,18,6,12,33,15,18,38,17,21,19,7,12,22,10,12,27,17,10,64,22,10,12,102.42,88,148,15,30,18,12,33,14,19,25,10,15,32,16,16,17,11,6,15,10,5,14,8,6,11,8,3,16,8,8,14,3,11,13,5,8,9,3,6,7,2,5,3,1,2,1,1,0,4,3,1,4,1,3,3,2,1,2.97,247,124,123,2,0,2,210,103,107,11,3,8,18,8,10,0,0,0,18,8,10,18,0,18,63,1,1,0,15,3,11,1,5,0,2,34,14,25,0,7,0,7,1,201,1,0,1,0,0,0,0,0,0,13,8,5,3,1,2,2,1,1,18,9,9,18,9,9,24,10,14,17,8,9,9,4,5,72,36,36,20,13,7,7.16,7.49,6.83,155,72,83,27,17,10,155,72,83,0,0,0,21,230,4,0,0,0,131,80,0,19,69,95,18,71,132,0,48,55,11,44,251,46,205,70,55,70,55,55,55,14,1,251,4.56,1.5,52,3,26,29,6,14,35,53,2,54,47,1,10,1,51,2,53,2,50,0,51,53,3,16,15,2,2,0,1,39,43,0,0,39,0,0,0,0,4,16,55,3,2
1,7,CHIAPAS,15,CACAHOATAN,9,AZTECA,-92.184933,15.113687,1393,354,165,189,19,11,8,335,154,181,315,151,164,245,121,124,221,107,114,203,99,104,29,8,21,61,25,36,63,32,31,24,14,10,18,8,10,37,21,16,76,39,17,22,114.55,133,195,26,39,14,25,51,21,30,43,23,20,32,15,17,23,14,9,23,12,11,29,12,17,14,6,8,14,6,8,18,11,7,21,9,12,8,5,3,13,5,8,7,4,3,6,3,3,9,4,5,2,1,1,2,0,2,3.4,341,159,182,5,3,2,291,143,148,18,8,10,4,2,2,0,0,0,4,2,2,4,0,4,27,0,0,0,20,5,7,7,8,4,4,54,20,43,7,12,4,8,8,275,19,4,15,2,1,1,3,1,2,11,5,6,7,6,1,3,2,1,45,29,16,41,23,18,43,15,28,39,18,21,8,4,4,51,28,23,35,16,19,6.17,6.19,6.15,165,55,110,80,66,14,165,55,110,0,0,0,85,269,7,0,0,0,208,54,0,0,92,127,26,209,109,0,36,72,15,57,354,58,296,98,72,98,72,72,72,25,1,354,4.92,1.82,60,12,42,30,16,22,34,69,3,70,68,2,5,0,64,6,70,2,67,1,66,71,8,30,17,3,1,0,0,45,52,3,2,49,2,0,0,0,14,22,67,8,2
1,7,CHIAPAS,15,CACAHOATAN,10,BELLAVISTA,-92.149386,15.078187,1187,686,342,344,40,23,17,646,319,327,622,305,317,491,236,255,437,210,227,387,185,202,38,19,19,117,64,53,129,67,62,54,26,28,50,25,25,86,37,49,154,71,33,38,100.58,249,387,50,64,37,27,101,51,50,84,44,40,68,34,34,68,28,40,44,27,17,40,17,23,39,18,21,37,16,21,25,14,11,23,12,11,22,11,11,21,11,10,14,6,8,11,5,6,12,6,6,9,3,6,4,2,2,3.47,669,334,335,11,5,6,609,300,309,11,5,6,60,26,34,0,0,0,60,26,34,60,0,60,227,0,0,0,14,4,6,5,6,3,1,29,9,20,2,11,3,3,8,638,21,13,8,4,3,1,3,0,3,32,17,15,14,5,9,10,3,7,55,29,26,54,27,27,70,23,47,68,30,38,14,7,7,152,85,67,61,29,32,7.01,7.37,6.69,329,112,217,159,124,35,329,112,217,0,0,0,257,429,16,2,0,3,404,1,0,3,214,237,40,283,243,18,142,131,25,106,686,111,575,169,131,169,131,131,131,29,9,686,5.24,1.73,126,5,51,80,13,31,87,131,0,129,128,2,16,0,126,3,128,3,128,0,128,118,1,67,44,8,11,2,0,84,104,7,5,100,16,1,0,0,9,30,110,2,3
