Ranking,Localidad,Poblacion_Total,Tipo_Carretera,Num_Escuelas,Tiene_Tienda_DICONSA,VPH_AGUADV,VPH_DRENAJ,VPH_C_ELEC,VPH_INTER,TVIVHAB,Factor_DICONSA,Factor_Acceso_Vial,Factor_Escuelas,Factor_Servicios,Factor_Poblacion,Peso_Posicional
1,SALVADOR URBINA  ,2722,2,4,1,661,656,670,225,676,1,0.666666667,0.666666667,0.818047337,0.142453423,1
2,FAJA DE ORO  ,2674,2,4,1,615,614,623,66,626,1,0.666666667,0.666666667,0.765974441,0.139941386,0.983428147
3,CACAHOATAN  ,19108,3,0,0,4863,4938,4933,1121,4971,0,1,0,0.797374774,1,0.849276161
4,ROSARIO IXTAL  ,1009,2,6,0,243,240,253,31,256,0,0.666666667,1,0.749023438,0.052805108,0.749429128
5,MIXCUM  ,1781,2,4,0,391,387,407,26,410,0,0.666666667,0.666666667,0.738414634,0.093207034,0.65727506
6,PIEDRA PARADA  ,141,2,4,0,26,26,25,0,26,0,0.666666667,0.666666667,0.740384615,0.007379108,0.631815993
7,EL PLATANAR  ,677,1,4,0,151,150,151,8,151,0,0.333333333,0.666666667,0.761589404,0.035430186,0.545570766
8,AGUA CALIENTE  ,552,1,4,0,82,55,86,7,87,0,0.333333333,0.666666667,0.66091954,0.028888424,0.513021578
9,ALPUJARRAS  ,579,1,3,0,149,150,149,42,153,0,0.333333333,0.5,0.800653595,0.030301444,0.505273892
10,GUATIMOC  ,972,1,3,0,234,233,233,19,236,0,0.333333333,0.5,0.761652542,0.050868746,0.49967745
11,BELLAVISTA  ,686,1,3,0,129,128,131,16,131,0,0.333333333,0.5,0.770992366,0.035901193,0.497968886
12,AZTECA  ,354,1,3,0,70,70,69,2,72,0,0.333333333,0.5,0.732638889,0.018526272,0.48104988
13,AGUSTIN DE ITURBIDE  ,2018,2,0,0,503,503,504,110,505,0,0.666666667,0,0.801980198,0.105610216,0.477940611
14,AHUACATLAN  ,1900,2,0,0,497,498,499,52,503,0,0.666666667,0,0.768389662,0.099434792,0.465867763
15,UNION ROJA  ,2102,2,0,0,548,552,551,32,559,0,0.666666667,0,0.752683363,0.11000628,0.464308847
16,BENITO JUAREZ  ,1708,2,0,0,317,321,328,56,335,0,0.666666667,0,0.762686567,0.089386644,0.461085724
17,EL PROGRESO  ,858,1,2,0,187,187,186,39,187,0,0.333333333,0.333333333,0.800802139,0.044902659,0.459152289
18,DOS DE MAYO  ,794,1,2,0,189,184,195,16,196,0,0.333333333,0.333333333,0.744897959,0.041553276,0.441163052
19,PUENTE COLORADO  ,258,1,2,0,56,56,56,2,56,0,0.333333333,0.333333333,0.758928571,0.013502198,0.436906473
20,LAS NUBES GUATIMOC  ,420,1,2,0,93,92,93,4,94,0,0.333333333,0.333333333,0.75,0.021980322,0.436769718
21,MIRAMAR  ,303,1,2,0,55,55,55,2,56,0,0.333333333,0.333333333,0.745535714,0.015857233,0.433555417
22,BENITO JUAREZ MONTECRISTO  ,216,2,0,0,38,38,38,0,38,0,0.666666667,0,0.75,0.011304166,0.433528463
23,ROSALES  ,157,1,2,0,36,37,37,1,37,0,0.333333333,0.333333333,0.75,0.008216454,0.432591041
24,CANTON PIEDRA PARADA  ,245,2,0,0,50,48,50,0,50,0,0.666666667,0,0.74,0.012821855,0.430953254
25,LA PRIMAVERA  ,126,1,2,0,25,26,26,0,26,0,0.333333333,0.333333333,0.740384615,0.006594097,0.42917929
26,TECOYTAC  ,235,1,3,0,39,11,37,2,40,0,0.333333333,0.5,0.55625,0.012298514,0.425607911
27,BENITO JUAREZ EL PLAN  ,399,2,0,0,45,46,42,1,48,0,0.666666667,0,0.697916667,0.020881306,0.420623687
28,LA SOLEDAD  ,158,1,2,0,35,33,36,0,37,0,0.333333333,0.333333333,0.702702703,0.008268788,0.418247586
29,SALVADOR URBINA (ISHCANALERO),88,2,0,0,15,19,19,0,19,0,0.666666667,0,0.697368421,0.004605401,0.415515915
30,EL PORVENIR  ,12,1,0,0,4,4,4,4,4,0,0.333333333,0,1,0.000628009,0.404987411
31,LA BOQUILLA  ,131,1,1,0,25,23,25,1,25,0,0.333333333,0.166666667,0.74,0.006855767,0.378542371
32,LAS NUBES LOS PATIOS  ,63,1,1,0,10,10,9,0,10,0,0.333333333,0.166666667,0.725,0.003297048,0.372907989
33,PLATANILLO  ,173,0,3,0,34,28,34,1,34,0,0,0.5,0.713235294,0.009053799,0.371083989
34,EL AGUILA  ,1377,1,0,0,347,345,345,92,347,0,0.333333333,0,0.813400576,0.072064057,0.370024091
35,SAN MIGUEL  ,124,1,1,0,23,13,23,2,23,0,0.333333333,0.166666667,0.663043478,0.006489429,0.355067339
36,FRACCIONAMIENTO SAN ANTONIO  ,113,1,0,0,22,22,22,4,22,0,0.333333333,0,0.795454545,0.005913753,0.344492649
37,MONTE OREB  ,26,1,0,0,5,5,5,1,5,0,0.333333333,0,0.8,0.001360687,0.344490338
38,SANTA MARIA LA VEGA  ,249,1,0,0,59,60,60,10,62,0,0.333333333,0,0.762096774,0.013031191,0.336526148
39,ALIANZA  ,64,0,2,0,12,12,12,1,12,0,0,0.333333333,0.770833333,0.003349382,0.336239172
40,TOQUIAN Y LAS NUBES  ,521,1,0,0,118,116,117,0,118,0,0.333333333,0,0.743644068,0.027266067,0.335245625
41,FRACCION BANANERA  ,119,1,0,0,24,24,24,1,24,0,0.333333333,0,0.760416667,0.006227758,0.333950565
42,SANTA LUCIA  ,188,1,0,0,37,36,37,1,37,0,0.333333333,0,0.75,0.009838811,0.331884398
43,TOQUIAN LAS NUBES (TOQUIAN GUARUMO)  ,573,1,0,0,113,112,116,12,121,0,0.333333333,0,0.729338843,0.02998744,0.331728795
44,FRACCION LAS QUINAS  ,90,1,0,0,19,19,19,0,19,0,0.333333333,0,0.75,0.004710069,0.330327324
45,LA VEGA DEL CAOTAN  ,62,1,0,0,10,10,10,0,10,0,0.333333333,0,0.75,0.003244714,0.329882446
46,LA ATLANTIDA  ,60,1,0,0,13,14,14,1,14,0,0.333333333,0,0.75,0.003140046,0.329850669
47,AGUA TIBIA  ,39,1,0,0,5,5,5,0,5,0,0.333333333,0,0.75,0.00204103,0.32951701
48,LOS ROBLES  ,24,1,0,0,7,7,7,0,7,0,0.333333333,0,0.75,0.001256018,0.329278683
49,EL JARDIN  ,21,1,0,0,3,3,3,0,3,0,0.333333333,0,0.75,0.001099016,0.329231017
50,EL PORVENIR  ,19,1,0,0,5,5,5,0,5,0,0.333333333,0,0.75,0.000994348,0.32919924
51,BRASIL  ,13,1,0,0,3,3,3,0,3,0,0.333333333,0,0.75,0.000680343,0.329103909
52,LA GLORIA  ,11,1,0,0,3,3,3,0,3,0,0.333333333,0,0.75,0.000575675,0.329072132
53,SANTA RITA  ,8,1,0,0,3,3,3,0,3,0,0.333333333,0,0.75,0.000418673,0.329024467
54,TECATE  ,3,1,0,0,3,3,3,0,3,0,0.333333333,0,0.75,0.000157002,0.328945024
55,FRACCION AZTECA  ,251,1,0,0,54,53,53,0,55,0,0.333333333,0,0.727272727,0.013135859,0.325985429
56,LOS PANES  ,24,1,1,0,2,7,6,1,7,0,0.333333333,0.166666667,0.571428571,0.001256018,0.325664426
57,LA CEIBA  ,158,1,0,0,35,33,36,1,36,0,0.333333333,0,0.729166667,0.008268788,0.325082793
58,EL PORVENIR  ,42,1,0,0,10,9,10,0,10,0,0.333333333,0,0.725,0.002198032,0.321974737
59,EL PASTIZAL  ,34,1,0,0,8,9,9,0,9,0,0.333333333,0,0.722222222,0.001779359,0.321004302
60,TOJBACH  ,92,1,0,0,16,13,16,1,16,0,0.333333333,0,0.71875,0.004814737,0.320871677
61,EL MANGUITO  ,229,1,0,0,51,60,59,0,60,0,0.333333333,0,0.708333333,0.011984509,0.319885928
62,LUPITA  ,35,1,0,0,6,6,7,1,7,0,0.333333333,0,0.714285714,0.001831694,0.318610686
63,EL ZAPOTE  ,21,1,0,0,3,3,3,2,4,0,0.333333333,0,0.6875,0.001099016,0.31025617
64,24 DE JUNIO (LA GALLERA)  ,148,1,0,0,24,29,29,0,31,0,0.333333333,0,0.661290323,0.007745447,0.304316816
